,id,cliente_id,direccion_adicional_id,tipo_falla,descripcion,estado,created_at,updated_at
0,1,6,6,software,El cliente activó un filtro parental o de contenido que está bloqueando el acceso a sitios web válidos.,resuelto,2023-01-01 02:51:00,2023-01-01 04:20:00
1,2,10,10,conectividad,"El cliente ha modificado accidentalmente la configuración del router o del dispositivo, impidiendo la conexión.",resuelto,2023-01-01 12:32:00,2023-01-01 17:07:00
2,3,43,43,hardware,El router no recibe energía debido a un adaptador defectuoso o toma de corriente fallida.,resuelto,2023-01-03 23:45:00,2023-01-04 05:26:00
3,4,34,34,otro,"Los usuarios no pueden acceder a sitios web por nombre de dominio, pero sí por dirección IP.",resuelto,2023-01-06 00:53:00,2023-01-06 01:33:00
4,5,62,62,software,La velocidad de descarga o subida es significativamente menor a la contratada en pruebas de velocidad (speed test).,resuelto,2023-01-07 00:55:00,2023-01-07 03:44:00
5,6,7,7,hardware,Los dispositivos no pueden conectarse a la red Wi-Fi o la señal es muy débil en ciertas áreas.,resuelto,2023-01-04 20:11:00,2023-01-05 01:06:00
6,7,19,19,conectividad,La velocidad de descarga o subida es significativamente menor a la contratada en pruebas de velocidad (speed test).,resuelto,2023-01-02 20:35:00,2023-01-02 23:01:00
7,8,56,56,software,"En casas grandes o con muchas paredes, la señal Wi-Fi no llega a todas las habitaciones.",resuelto,2023-01-04 04:38:00,2023-01-04 05:01:00
8,9,8,8,hardware,"Muchos dispositivos conectados simultáneamente en el domicilio del cliente, agotando el ancho de banda disponible.",resuelto,2023-01-03 02:39:00,2023-01-03 06:55:00
9,10,67,67,otro,"El equipo provisto por la empresa (router, ONT) presenta luces de error, no enciende o no distribuye IP.",resuelto,2023-01-01 17:04:00,2023-01-01 18:28:00
10,11,26,26,conectividad,Interrupción del servicio debido a trabajos de mantenimiento planificados en la red.,resuelto,2023-01-01 02:05:00,2023-01-01 05:43:00
11,12,56,56,conectividad,La velocidad de descarga o subida es significativamente menor a la contratada en pruebas de velocidad (speed test).,resuelto,2023-01-03 04:19:00,2023-01-03 09:31:00
12,13,33,33,software,"Muchos dispositivos conectados simultáneamente en el domicilio del cliente, agotando el ancho de banda disponible.",resuelto,2023-01-07 20:35:00,2023-01-08 01:03:00
13,14,70,70,hardware,"En casas grandes o con muchas paredes, la señal Wi-Fi no llega a todas las habitaciones.",resuelto,2023-01-04 12:30:00,2023-01-04 14:02:00
14,15,13,13,otro,El equipo del cliente requiere una actualización de firmware o software para un rendimiento óptimo.,resuelto,2023-01-07 21:19:00,2023-01-07 23:42:00
15,16,23,23,software,"El cliente no puede acceder a una o varias páginas web o servicios en línea, mientras que otros funcionan con normalidad.",resuelto,2023-01-05 20:48:00,2023-01-06 01:41:00
16,17,55,55,otro,Daño o sustracción de cables o equipos de red en la infraestructura del proveedor.,resuelto,2023-01-07 14:28:00,2023-01-07 14:53:00
17,18,13,13,otro,"El equipo provisto por la empresa (router, ONT) presenta luces de error, no enciende o no distribuye IP.",resuelto,2023-01-01 20:44:00,2023-01-01 22:04:00
18,19,24,24,hardware,La conexión a internet se pierde y se recupera repetidamente en intervalos cortos. El LED de internet del router parpadea constantemente o cambia de estado.,resuelto,2023-01-05 19:59:00,2023-01-05 20:28:00
19,20,50,50,conectividad,El cliente no tiene acceso a internet no hay luz en el router o el LED de internet está apagado. No se detecta señal en el ONT/Módem.,resuelto,2023-01-02 11:49:00,2023-01-02 14:01:00
20,21,64,64,otro,Daño o sustracción de cables o equipos de red en la infraestructura del proveedor.,resuelto,2023-01-01 05:43:00,2023-01-01 09:20:00
21,22,48,48,software,El cliente activó un filtro parental o de contenido que está bloqueando el acceso a sitios web válidos.,resuelto,2023-01-10 04:17:00,2023-01-10 04:51:00
22,23,16,16,software,"En casas grandes o con muchas paredes, la señal Wi-Fi no llega a todas las habitaciones.",resuelto,2023-01-14 14:22:00,2023-01-14 19:00:00
23,24,65,65,conectividad,El equipo del cliente requiere una actualización de firmware o software para un rendimiento óptimo.,resuelto,2023-01-10 12:00:00,2023-01-10 16:22:00
